case,t_h,R,T,N,nu
G1_b88,2.8,0.1529811518382659,0.07601564604940618,-4.628235462312401,1.0
G1_b88,2.9,0.16945558946282396,0.024077985874854744,-4.628209488943889,1.0
G1_b88,3.0,0.16874731836478785,-0.03051005887248096,-4.6281841143906854,1.0
G1_b88,3.1,0.15086305313577789,-0.08219900355111588,-4.628159338392402,1.0
G1_b88,3.2,0.1175604145710299,-0.12571453597674948,-4.628135095468311,1.0
G1_b88,3.3,0.07217401081635792,-0.15659690929419576,-4.628111261456756,1.0
G1_b88,3.4,0.019279849725227872,-0.17165780467497316,-4.628087666069951,1.0
G1_b88,3.5,-0.0357670179984769,-0.16930810400615753,-4.628064110098842,1.0
G1_b88,3.6,-0.08737440355589964,-0.1497238527259426,-4.628040385502547,1.0
G1_b88,3.7,-0.1302800041419928,-0.11483402409101742,-4.628016296418986,1.0
G1_b88,3.8,-0.16008694673652277,-0.06813097771587519,-4.627991679071905,1.0
G1_b88,3.9,-0.17371397670349367,-0.014321693102651124,-4.627966418600485,1.0
G1_b88,4.0,-0.16971412546402515,0.041146108654482726,-4.627940461043358,1.0
G1_b88,4.1,-0.14842834823019221,0.09263550541449582,-4.627913819136252,1.0
G1_b88,4.2,-0.11195741863533488,0.13489338669339906,-4.627886571238862,1.0
G1_b88,4.3,-0.06395441580679785,0.16358616540136992,-4.627858853497744,1.0
G1_b88,4.4,-0.009258863254790283,0.17574346031512378,-4.627830846115253,1.0
G1_b88,4.5,0.046590433542453756,0.17006485371484414,-4.627802755186551,1.0
G1_b88,4.6,0.09791507568643923,0.147058782791734,-4.627774791934435,1.0
G1_b88,4.7,0.1394735850083304,0.10899900306361533,-4.627747151352676,1.0
G1_b88,4.8,0.1669969996012105,0.05970161969097608,-4.627719992323649,1.0
G1_b88,4.9,0.17762884043650565,0.004143438496294135,-4.627693421211854,1.0
G1_b88,5.0,0.17022322693633873,-0.05204095017520002,-4.627667480694143,1.0
G1_b88,5.1,0.14546885766619366,-0.10313231908915434,-4.62764214510384,1.0
G1_b88,5.2,0.1058248770581733,-0.14391080450498975,-4.627617322850509,1.0
G1_b88,5.3,0.05527498211585735,-0.17018995915732812,-4.627592865648688,1.0
G1_b88,5.4,-0.0010744978204588406,-0.17924580719872563,-4.627568583522554,1.0
G1_b88,5.5,-0.0575109851787805,-0.17009753037264289,-4.627544263987465,1.0
G1_b88,5.6,-0.1082941152301961,-0.14361196458770542,-4.627519693479917,1.0
G1_b88,5.7,-0.14823839285868032,-0.10242154589896832,-4.6274946789622655,1.0
G1_b88,5.8,-0.1732418166706242,-0.0506633421168288,-4.6274690676084065,1.0
G1_b88,5.9,-0.18070698218639264,0.006435673630432311,-4.627442762581032,1.0
G1_b88,6.0,-0.16981111606332275,0.06308615958613151,-4.627415733203696,1.0
G1_b88,6.1,-0.14159637062404642,0.11352352742076939,-4.627388018366277,1.0
G1_b88,6.2,-0.09887027119883357,0.1525946018948774,-4.6273597227516365,1.0
G1_b88,6.3,-0.04592615354724691,0.17628367221386582,-4.6273310063012945,1.0
G1_b88,6.4,0.011887964727102882,0.18212438415011448,-4.627302068076704,1.0
G1_b88,6.5,0.06870858439308743,0.16945593096115164,-4.627273126200184,1.0
G1_b88,6.6,0.1187501803519254,0.13949759050362906,-4.6272443958608696,1.0
G1_b88,6.7,0.15689380567015462,0.09523321422276745,-4.6272160675037295,1.0
G1_b88,6.8,0.17921154726254754,0.04111566518626495,-4.627188287333403,1.0
G1_b88,6.9,0.18337274902075593,-0.017380635973624443,-4.627161142139162,1.0
G1_b88,7.0,0.1688888645632253,-0.07431454662065687,-4.6271346501094035,1.0
G1_b88,7.1,0.13717013071014303,-0.12388357532130193,-4.627108758706611,1.0
G1_b88,7.2,0.09138733700897443,-0.16101684291889548,-4.627083349869956,1.0
G1_b88,7.3,0.03615302589553848,-0.18189403538632837,-4.627058251956818,1.0
G1_b88,7.4,-0.02294457379647565,-0.1843372148083341,-4.627033257106119,1.0
G1_b88,7.5,-0.07990700630904338,-0.16803621369876873,-4.627008142212775,1.0
G1_b88,7.6,-0.12893342266780877,-0.1345853940165156,-4.6269826914414365,1.0
G1_b88,7.7,-0.16501009697262198,-0.08732797955584613,-4.626956718111012,1.0
G1_b88,7.8,-0.18442253477507559,-0.031022745204269227,-4.626930083804817,1.0
G1_b88,7.9,-0.18513799232454767,0.028634501694775102,-4.626902712732829,1.0
G1_b88,8.0,-0.16701849871108151,0.08558698147220378,-4.626874599765694,1.0
